sma,2,fl
ema,2,fl
dema,2,fl
tema,2,fl
wma,2,fl
trima,2,fl
kama,2,fl
t3,3,fld
ma,3,fll
midpoint,2,fl
midprice,3,ffl
sar,4,ffdd
mama,3,fdd
ht_trendline,1,f
bbands,5,flddl
rsi,2,fl
mom,2,fl
roc,2,fl
cmo,2,fl
trix,2,fl
apo,4,flll
ppo,4,flll
macd,4,flll
macdfix,2,fl
adx,4,fffl
adxr,4,fffl
dx,4,fffl
aroon,3,ffl
aroonosc,3,ffl
cci,4,fffl
willr,4,fffl
minus_di,4,fffl
plus_di,4,fffl
minus_dm,3,ffl
plus_dm,3,ffl
stoch,8,ffflllll
stochf,6,ffflll
stochrsi,5,fllll
ultosc,6,ffflll
mfi,5,ffffl
bop,4,ffff
atr,4,fffl
natr,4,fffl
trange,3,fff
stddev,3,fld
var,3,fld
beta,3,ffl
correl,3,ffl
linearreg,2,fl
linearreg_slope,2,fl
linearreg_intercept,2,fl
linearreg_angle,2,fl
tsf,2,fl
obv,2,ff
ad,4,ffff
adosc,6,ffffll
avgprice,4,ffff
medprice,2,ff
typprice,3,fff
wclprice,3,fff
ht_dcperiod,1,f
ht_dcphase,1,f
ht_phasor,1,f
ht_sine,1,f
add,2,ff
sub,2,ff
mult,2,ff
div,2,ff
acos,1,f
asin,1,f
atan,1,f
ceil,1,f
cos,1,f
exp,1,f
floor,1,f
ln,1,f
log10,1,f
sin,1,f
sqrt,1,f
tan,1,f
cdl.2crows,4,ffff
cdl.3blackcrows,4,ffff
cdl.3inside,4,ffff
cdl.3linestrike,4,ffff
cdl.3outside,4,ffff
cdl.3starsinsouth,4,ffff
cdl.3whitesoldiers,4,ffff
cdl.advanceblock,4,ffff
cdl.belthold,4,ffff
cdl.breakaway,4,ffff
cdl.closingmarubozu,4,ffff
cdl.concealbabyswall,4,ffff
cdl.counterattack,4,ffff
cdl.doji,4,ffff
cdl.dojistar,4,ffff
cdl.dragonflydoji,4,ffff
cdl.engulfing,4,ffff
cdl.gapsidesidewhite,4,ffff
cdl.gravestonedoji,4,ffff
cdl.hammer,4,ffff
cdl.hangingman,4,ffff
cdl.harami,4,ffff
cdl.haramicross,4,ffff
cdl.highwave,4,ffff
cdl.hikkake,4,ffff
cdl.hikkakemod,4,ffff
cdl.homingpigeon,4,ffff
cdl.identical3crows,4,ffff
cdl.inneck,4,ffff
cdl.invertedhammer,4,ffff
cdl.kicking,4,ffff
cdl.kickingbylength,4,ffff
cdl.ladderbottom,4,ffff
cdl.longleggeddoji,4,ffff
cdl.longline,4,ffff
cdl.marubozu,4,ffff
cdl.matchinglow,4,ffff
cdl.onneck,4,ffff
cdl.piercing,4,ffff
cdl.rickshawman,4,ffff
cdl.risefall3methods,4,ffff
cdl.separatinglines,4,ffff
cdl.shootingstar,4,ffff
cdl.shortline,4,ffff
cdl.spinningtop,4,ffff
cdl.stalledpattern,4,ffff
cdl.sticksandwich,4,ffff
cdl.takuri,4,ffff
cdl.tasukigap,4,ffff
cdl.thrusting,4,ffff
cdl.tristar,4,ffff
cdl.unique3river,4,ffff
cdl.upsidegap2crows,4,ffff
cdl.xsidegap3methods,4,ffff
cdl.abandonedbaby,5,ffffd
cdl.darkcloudcover,5,ffffd
cdl.eveningdojistar,5,ffffd
cdl.eveningstar,5,ffffd
cdl.mathold,5,ffffd
cdl.morningdojistar,5,ffffd
cdl.morningstar,5,ffffd
